trending_date,channel_title,category_id,views,likes,dislikes,comment_count
17.14.11,CaseyNeistat,22,748374,57527,2966,15954
17.14.11,LastWeekTonight,24,2418783,97185,6146,12703
17.14.11,Rudy Mancuso,23,3191434,146033,5339,8181
17.14.11,Good Mythical Morning,24,343168,10172,666,2146
17.14.11,nigahiga,24,2095731,132235,1989,17518
17.14.11,iJustine,28,119180,9763,511,1434
17.14.11,Saturday Night Live,24,2103417,15993,2445,1970
17.14.11,CrazyRussianHacker,28,817732,23663,778,3432
17.14.11,20th Century Fox,1,826059,3543,119,340
17.14.11,Vox,25,256426,12654,1363,2368
17.14.11,NFL,17,81377,655,25,177
17.14.11,amc,24,104578,1576,303,1279
17.14.11,marshmello,10,687582,114188,1333,8371
17.14.11,NowThis World,25,544770,7848,1171,3981
17.14.11,The king of DIY,15,207532,7473,246,2120
17.14.11,BostonDynamics,28,75752,9419,52,1230
17.14.11,Cracked,23,295639,8011,638,1256
17.14.11,TED-Ed,27,78044,5398,53,385
17.14.11,PeterSripol,28,97007,11963,36,2211
17.14.11,SciShow,27,223871,8421,191,1214
17.14.11,Life Noggin,27,115791,9586,75,2800
17.14.11,Tested,28,224019,3585,138,208
17.14.11,Tom Scott,27,144418,11758,89,1014
17.14.11,Refinery29,26,145921,1707,578,673
17.14.11,Gus Johnson,23,33980,4884,52,234
17.14.11,HellthyJunkFood,24,223077,8676,193,1392
17.14.11,Numberphile,28,80705,4687,41,437
17.14.11,JerryRigEverything,26,120727,9033,224,1346
17.14.11,Cleveland Cavaliers on cleveland.com,25,27943,156,36,83
17.14.11,FaeryInLoveInc,1,50867,715,238,246
17.14.11,hp_overload,2,98378,4035,495,486
17.14.11,Amazon.co.uk,24,26000,119,69,0
17.14.11,EminemVEVO,10,17158531,787419,43420,125882
17.14.11,officer401,24,67661,3781,84,626
17.14.11,Emirates,19,141148,1661,70,236
17.14.11,Nobrand,22,98966,2486,184,532
17.14.11,Screen Junkies,1,288922,7515,792,2111
17.14.11,Hunter Hayes,10,13917,1318,24,76
17.14.11,Niki and Gabi,23,605932,38397,1387,3412
17.14.11,Nickelback,10,57169,6927,161,565
17.14.11,U2VEVO,10,60506,5389,106,455
17.14.11,BBC News,25,34785,308,26,413
17.14.11,Ben Rohrbach,17,945,7,5,8
17.14.11,MatthewSantoro,10,328330,15186,15448,7484
17.14.11,Shawn Johnson East,22,321053,4451,1772,895
17.14.11,dope2111,26,1456472,33505,1660,2160
17.14.11,People are Awesome,24,69844,3417,33,160
17.14.11,NBA Highlights · YouTube,17,956169,2017,2425,1447
17.14.11,D3sports.com,17,4569,35,18,19
17.14.11,FBE,24,2045386,45406,2842,8309
17.14.11,Simply Nailogical,24,1842393,99086,1339,11800
17.14.11,CBS Sunday Morning,25,6473,205,6,15
17.14.11,WWE,17,1044813,15397,838,1100
17.14.11,JenniferLopezVEVO,10,9548677,190083,15015,11473
17.14.11,Grace Helbig,22,197062,7250,217,456
17.14.11,The Graham Norton Show,24,1496225,16116,236,605
17.14.11,Kevin Durant,17,162597,5734,106,525
17.14.11,JimBrowski 96HourNews,25,9132,21,8,64
17.14.11,ViralHog,2,7265,89,8,22
17.14.11,Jeremy Jahns,24,291597,8209,344,1062
17.14.11,Jonathan Morrison,28,290801,10237,377,1016
17.14.11,TIME,25,5304,52,13,68
17.14.11,YouTube Spotlight,24,812516,26917,1979,4998
17.14.11,GEazyMusicVEVO,10,2642930,115795,3055,6410
17.14.11,U.S. Navy,25,105058,493,54,347
17.14.11,IGN,24,537715,8231,413,970
17.14.11,Safiya Nygaard,22,2744430,115426,1110,6541
17.14.11,Lele Pons,23,3358068,120876,8279,6408
17.14.11,INSIDER,24,4732,203,6,33
17.14.11,John Lewis,26,7224515,55681,10247,9479
17.14.11,Ed Sheeran,10,33523622,1634124,21082,85067
17.14.11,Sara Dietschy,1,52591,2233,187,255
17.14.11,MeganBatoon,24,75822,2978,147,243
17.14.11,John Campea,24,43715,1550,109,1031
