prod_id,quan_in_stock,sales
1,138,9
2,118,19
3,228,11
4,279,12
5,382,13
6,109,14
7,90,10
8,357,6
9,215,27
10,105,16
11,80,5
12,22,13
13,64,11
14,136,14
15,343,9
16,481,8
17,114,13
18,189,9
19,389,7
20,131,9
21,443,10
22,172,6
23,122,10
24,18,17
25,461,15
26,210,23
27,270,13
28,410,37
29,438,23
30,150,5
31,158,21
32,75,6
33,268,18
34,386,8
35,355,17
36,149,16
37,496,14
38,445,7
39,6,14
40,211,11
41,50,6
42,86,16
43,233,13
44,115,8
45,222,7
46,75,15
47,95,17
48,336,13
49,265,12
50,484,16
51,467,15
52,207,28
53,156,11
54,89,11
55,226,16
56,116,9
57,300,13
58,496,7
59,25,17
60,237,11
61,145,6
62,183,9
63,313,13
64,413,8
65,69,11
66,167,20
67,62,10
68,65,3
69,112,10
70,68,6
71,276,16
72,162,8
73,154,7
74,8,8
75,277,9
76,376,9
77,84,20
78,372,3
79,212,18
80,349,15
81,356,7
82,178,17
83,56,13
84,11,9
85,268,16
86,282,28
87,128,18
88,67,16
89,277,15
90,153,6
91,304,18
92,423,16
93,337,6
94,116,9
95,336,10
96,407,24
97,283,9
98,398,10
99,472,3
100,395,4
101,466,8
102,247,6
103,57,9
104,120,11
105,255,15
106,334,19
107,496,20
108,340,10
109,206,6
110,208,4
111,188,11
112,61,13
113,386,7
114,244,13
115,73,6
116,154,12
117,26,14
118,201,12
119,221,1
120,303,7
121,355,18
122,24,6
123,226,3
124,192,15
125,141,12
126,61,14
127,98,9
128,425,11
129,460,12
130,69,15
131,319,13
132,426,15
133,316,13
134,377,22
135,45,7
136,71,11
137,210,8
138,41,14
139,411,4
140,416,4
141,249,3
142,99,10
143,478,4
144,135,12
145,344,10
146,50,8
147,289,18
148,370,9
149,252,8
150,9,16
151,173,7
152,106,8
153,34,7
154,399,7
155,298,20
156,175,7
157,461,12
158,396,6
159,99,16
160,420,10
161,466,9
162,419,9
163,346,20
164,281,7
165,296,16
166,391,7
167,353,11
168,5,2
169,432,14
170,264,8
171,422,9
172,181,10
173,363,7
174,399,11
175,316,17
176,206,17
177,450,2
178,105,10
179,76,14
180,201,16
181,115,9
182,249,10
183,308,5
184,150,14
185,148,17
186,106,9
187,325,11
188,108,21
189,2,9
190,425,5
191,28,13
192,468,4
193,344,11
